kaggle_id,kaggle_name,db_team_id,match_type
1223,Houston Chr,272,exact
1224,Howard,122,exact
1225,Idaho,-1,manual
1226,Idaho St,121,exact
1227,IL Chicago,-1,manual
1228,Illinois,44,exact
1229,Illinois St,489,fuzzy_loose
1230,Incarnate Word,216,exact
1231,Indiana,84,exact
1232,Indiana St,148,manual
1233,Iona,210,exact
1234,Iowa,225,exact
1235,Iowa St,3,manual
1236,PFW,-1,manual
1237,IUPUI,304,manual
1238,Jackson St,45,exact
1239,Jacksonville,306,fuzzy_loose
1240,Jacksonville St,-1,manual
1241,James Madison,85,exact
1242,Kansas,47,exact
1243,Kansas St,190,manual
1244,Kennesaw,249,fuzzy_loose
1245,Kent,585,fuzzy_loose
1246,Kentucky,58,exact
1247,La Salle,281,manual
1248,Lafayette,251,manual
1249,Lamar,339,exact
1250,Lehigh,-1,manual
1251,Liberty,123,exact
1252,Lipscomb,-1,manual
1253,Long Beach St,-1,manual
1254,LIU Brooklyn,-1,manual
1255,Longwood,-1,manual
1256,Louisiana Tech,108,exact
1257,Louisville,5,exact
1258,Loy Marymount,286,fuzzy
1259,Loyola MD,-1,manual
1260,Loyola-Chicago,116,manual
1261,LSU,248,manual
1262,MA Lowell,451,fuzzy_loose
1263,Maine,353,exact
1264,Manhattan,-1,manual
1265,Marist,-1,manual
1266,Marquette,83,exact
1267,Marshall,-1,manual
1268,Maryland,186,exact
1269,Massachusetts,23,exact
1270,McNeese St,-1,manual
1271,MD E Shore,153,manual
1272,Memphis,167,exact
1273,Mercer,46,exact
1274,Miami FL,26,fuzzy_loose
1275,Miami OH,-1,manual
1276,Michigan,33,exact
1277,Michigan St,51,manual
1278,Minnesota,228,exact
1279,Mississippi,138,fuzzy_loose
1280,Mississippi St,138,manual
1281,Missouri,114,exact
1282,Missouri KC,114,fuzzy
1283,Missouri St,284,exact
1284,Monmouth NJ,346,manual
1285,Montana,280,exact
1286,Montana St,110,exact
1287,Morehead St,90,manual
1288,Morgan St,287,exact
1289,Morris Brown,-1,manual
1290,MS Valley St,-1,manual
1291,Mt St Mary's,331,fuzzy
1292,MTSU,-1,manual
1293,Murray St,323,manual
1294,N Colorado,278,manual
1295,N Dakota St,269,manual
1296,N Illinois,72,fuzzy
1297,N Kentucky,-1,manual
1298,Navy,163,exact
1299,NC A&T,359,manual
1300,NC Central,460,fuzzy_loose
1301,NC State,-1,manual
1302,NE Illinois,44,fuzzy
1303,NE Omaha,128,fuzzy_loose
1304,Nebraska,254,exact
1305,Nevada,342,fuzzy_loose
1306,New Hampshire,79,exact
1307,New Mexico,220,exact
1308,New Mexico St,371,manual
1309,New Orleans,194,manual
1310,Niagara,-1,manual
1311,Nicholls St,59,fuzzy_loose
1312,NJIT,192,manual
1313,Norfolk St,199,exact
1314,North Carolina,54,exact
1315,North Dakota,42,exact
1316,North Florida,63,exact
1317,North Texas,117,fuzzy_loose
1318,Northeastern,347,exact
1319,Northern Arizona,140,exact
1320,Northern Iowa,97,exact
1321,Northwestern,21,exact
1322,Northwestern LA,21,fuzzy
1323,Notre Dame,595,fuzzy
1324,Oakland,34,exact
1325,Ohio,154,exact
1326,Ohio St,-1,manual
1327,Okla City,-1,manual
1328,Oklahoma,77,exact
1329,Oklahoma St,103,manual
1330,Old Dominion,393,exact
1331,Oral Roberts,303,exact
1332,Oregon,182,manual
1333,Oregon St,376,manual
1334,Pacific,275,exact
1335,Penn,-1,manual
1336,Penn St,255,manual
1337,Pepperdine,69,fuzzy_loose
1338,Pittsburgh,344,exact
1339,Portland,118,exact
1340,Portland St,311,fuzzy_loose
1341,Prairie View,338,exact
1342,Presbyterian,175,fuzzy_loose
1343,Princeton,156,exact
1344,Providence,19,exact
1345,Purdue,20,exact
1346,Quinnipiac,32,exact
1347,Radford,143,exact
1348,Rhode Island,382,exact
1349,Rice,160,exact
1350,Richmond,477,exact
1351,Rider,168,exact
1352,Robert Morris,236,exact
1353,Rutgers,181,exact
1354,S Carolina St,36,manual
1355,S Dakota St,-1,manual
1356,S Illinois,72,fuzzy_loose
1357,Sacred Heart,333,exact
1358,Sam Houston St,-1,manual
1359,Samford,152,exact
1360,San Diego,296,exact
1361,San Diego St,120,exact
1362,San Francisco,374,exact
1363,San Jose St,147,fuzzy
1364,UC Santa Barbara,-1,manual
1365,Santa Clara,2,exact
1366,Savannah St,-1,manual
1367,SC Upstate,-1,manual
1368,SE Louisiana,267,exact
1369,SE Missouri St,-1,manual
1370,Seattle,-1,manual
1371,Seton Hall,183,exact
1372,SF Austin,340,manual
1373,Siena,330,exact
1374,SMU,6,manual
1375,South Alabama,366,exact
1376,South Carolina,54,fuzzy
1377,South Dakota,42,fuzzy
1378,South Florida,232,exact
1379,Southern Miss,130,fuzzy_loose
1380,Southern Univ,-1,manual
1381,Southern Utah,-1,manual
1382,St Bonaventure,187,fuzzy_loose
1383,St Francis NY,214,manual
1384,St Francis PA,-1,manual
1385,St John's,-1,manual
1386,St Joseph's PA,355,manual
1387,St Louis,360,fuzzy_loose
1388,St Mary's CA,198,manual
1389,St Peter's,332,manual
1390,Stanford,152,fuzzy_loose
1391,Stetson,-1,manual
1392,Stony Brook,-1,manual
1393,Syracuse,178,exact
1394,TAM C. Christi,-1,manual
1395,TCU,-1,manual
1396,Temple,204,exact
1397,Tennessee,27,exact
1398,Tennessee St,170,manual
1399,Tennessee Tech,193,manual
1400,Texas,57,exact
1401,Texas A&M,104,fuzzy
1402,Texas St,369,exact
1403,Texas Tech,369,fuzzy_loose
1404,TN Martin,131,manual
1405,Toledo,-1,manual
1406,Towson,73,exact
1407,Troy,209,exact
1408,Tulane,383,exact
1409,Tulsa,383,fuzzy_loose
1410,UTRGV,-1,manual
1411,TX Southern,50,fuzzy
1412,UAB,215,exact
1413,UC Davis,119,exact
1414,UC Irvine,242,exact
1415,UC Riverside,243,manual
1416,UCF,10,manual
1417,UCLA,37,exact
1418,Louisiana,267,fuzzy
1419,ULM,-1,manual
1420,UMBC,354,manual
1421,UNC Asheville,378,manual
1422,UNC Greensboro,309,manual
1423,UNC Wilmington,290,manual
1424,UNLV,184,exact
1425,USC,125,manual
1426,UT Arlington,308,exact
1427,UT San Antonio,-1,manual
1428,Utah,326,exact
1429,Utah St,233,exact
1430,Utah Valley,320,exact
1431,UTEP,-1,manual
1432,Utica,322,fuzzy_loose
1433,VCU,162,manual
1434,Valparaiso,67,fuzzy_loose
1435,Vanderbilt,196,manual
1436,Vermont,100,exact
1437,Villanova,35,exact
1438,Virginia,16,exact
1439,Virginia Tech,609,fuzzy
1440,VMI,115,exact
1441,W Carolina,185,fuzzy
1442,W Illinois,312,fuzzy
1443,WKU,-1,manual
1444,W Michigan,80,fuzzy
1445,W Salem St,-1,manual
1446,W Texas A&M,135,fuzzy
1447,Wagner,352,exact
1448,Wake Forest,141,exact
1449,Washington,25,exact
1450,Washington St,343,manual
1451,Weber St,310,exact
1452,West Virginia,112,exact
1453,WI Green Bay,48,fuzzy
1454,WI Milwaukee,151,fuzzy
1455,Wichita St,455,exact
1456,William & Mary,575,fuzzy
1457,Winthrop,165,exact
1458,Wisconsin,24,exact
1459,Wofford,-1,manual
1460,Wright St,455,fuzzy_loose
1461,Wyoming,200,exact
1462,Xavier,14,manual
1463,Yale,295,exact
1464,Youngstown St,300,exact
1465,Cal Baptist,384,fuzzy_loose
1466,North Alabama,212,exact
1467,Merrimack,-1,manual
1468,Bellarmine,283,exact
1469,Utah Tech,233,fuzzy_loose
1470,Tarleton St,213,fuzzy_loose
1471,UC San Diego,296,fuzzy
1472,St Thomas MN,-1,manual
1473,Lindenwood,60,exact
1474,Queens NC,-1,manual
1475,Southern Indiana,478,fuzzy_loose
1476,Stonehill,159,exact
1477,East Texas A&M,135,fuzzy
1478,Le Moyne,-1,manual
1479,Mercyhurst,350,exact
1480,West Georgia,137,exact
1481,New Haven,-1,manual
